T_Amb,GlobHor
18.3,0
18.3,0
18.3,0
18.2,0
18.2,0
18.2,0
18.2,0
18.2,0
18.2,0
18.2,0
18.1,0
18.1,0
18.1,0
18.1,0
18.1,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.9,0
17.8,0
17.8,0
17.8,0
17.8,0
17.8,0
17.8,0
17.8,0
17.9,3
17.9,6
18.0,9
18.0,12
18.1,15
18.2,18
18.2,21
18.3,24
18.3,27
18.4,30
18.4,33
18.5,36
18.6,43
18.7,51
18.8,58
19.0,65
19.1,73
19.2,80
19.3,87
19.4,95
19.5,102
19.7,109
19.8,117
19.9,124
20.0,136
20.1,148
20.2,160
20.4,173
20.5,185
20.6,197
20.7,209
20.8,221
21.0,234
21.1,246
21.2,258
21.3,270
21.4,296
21.6,322
21.8,348
21.9,374
22.0,400
22.2,426
22.4,453
22.5,479
22.7,505
22.8,531
23.0,557
23.1,583
23.3,572
23.5,562
23.7,551
23.8,540
24.0,530
24.2,519
24.4,508
24.6,498
24.8,487
24.9,476
25.1,466
25.3,455
25.4,476
25.4,497
25.5,518
25.5,539
25.6,560
25.6,581
25.7,602
25.8,623
25.8,644
25.9,665
25.9,686
26.0,707
25.8,720
25.6,732
25.4,745
25.2,757
25.0,770
24.8,782
24.5,795
24.3,808
24.1,820
23.9,833
23.7,845
23.5,858
23.2,820
22.9,782
22.6,743
22.3,705
22.0,667
21.8,628
21.5,590
21.2,552
20.9,514
20.6,476
20.3,437
20.0,399
20.1,402
20.2,405
20.3,408
20.4,411
20.5,414
20.6,416
20.7,419
20.8,422
20.9,425
21.0,428
21.1,431
21.2,434
21.4,434
21.5,435
21.7,436
21.8,436
22.0,436
22.2,437
22.3,438
22.5,438
22.6,438
22.8,439
22.9,440
23.1,440
23.2,436
23.3,432
23.4,428
23.5,423
23.6,419
23.7,415
23.8,411
23.9,407
24.0,402
24.1,398
24.2,394
24.3,390
24.3,372
24.2,355
24.2,337
24.2,319
24.1,302
24.1,284
24.1,266
24.0,249
24.0,231
24.0,213
23.9,196
23.9,178
23.9,176
23.9,174
23.8,172
23.8,170
23.8,168
23.8,166
23.8,164
23.8,162
23.8,160
23.7,158
23.7,156
23.7,154
23.5,146
23.4,138
23.2,130
23.0,122
22.8,114
22.6,106
22.5,97
22.3,89
22.1,81
22.0,73
21.8,65
21.6,57
21.6,52
21.6,48
21.6,43
21.6,38
21.6,33
21.6,28
21.5,24
21.5,19
21.5,14
21.5,10
21.5,5
21.5,0
21.4,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.6,0
20.5,0
20.4,0
20.2,0
20.1,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
19.9,0
19.9,0
19.9,0
19.9,0
19.9,0
19.9,0
19.8,0
19.7,0
19.6,0
19.5,0
19.4,0
19.3,0
19.2,0
19.1,0
19.0,0
18.9,0
18.8,0
18.7,0
18.6,0
18.6,0
18.5,0
18.4,0
18.4,0
18.3,0
18.2,0
18.2,0
18.1,0
18.0,0
18.0,0
17.9,0
17.9,0
17.8,0
17.8,0
17.8,0
17.7,0
17.7,0
17.7,0
17.6,0
17.6,0
17.6,0
17.5,0
17.5,0
17.4,0
17.3,0
17.2,0
17.1,0
17.0,0
16.8,0
16.7,0
16.6,0
16.5,0
16.4,0
16.3,0
16.2,0
16.2,0
16.2,0
16.3,0
16.3,0
16.3,0
16.4,0
16.4,0
16.4,0
16.4,0
16.4,0
16.5,0
16.5,0
16.5,0
16.5,0
16.5,0
16.5,0
16.5,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.6,0
16.5,0
16.5,0
16.5,0
16.5,0
16.5,0
16.4,0
16.4,0
16.4,0
16.4,0
16.5,5
16.6,10
16.8,16
16.9,21
17.0,26
17.1,31
17.2,36
17.3,41
17.4,46
17.6,52
17.7,57
17.8,62
18.0,78
18.2,94
18.4,111
18.6,127
18.8,143
19.0,160
19.1,176
19.3,192
19.5,208
19.7,224
19.9,241
20.1,257
20.3,276
20.5,294
20.6,313
20.8,331
21.0,350
21.2,368
21.3,387
21.5,406
21.7,424
21.8,443
22.0,461
22.2,480
22.4,497
22.6,514
22.7,531
22.9,548
23.1,565
23.2,582
23.4,599
23.6,616
23.8,633
24.0,650
24.1,667
24.3,684
24.5,698
24.6,712
24.8,727
25.0,741
25.2,755
25.4,770
25.5,784
25.7,798
25.9,812
26.0,826
26.2,841
26.4,855
26.5,863
26.6,870
26.7,878
26.8,886
26.9,894
27.0,902
27.1,909
27.2,917
27.3,925
27.4,932
27.5,940
27.6,948
27.7,947
27.8,946
27.8,946
27.9,945
28.0,944
28.1,943
28.2,942
28.3,941
28.4,940
28.4,940
28.5,939
28.6,938
28.6,932
28.7,925
28.7,918
28.7,912
28.8,906
28.8,899
28.8,892
28.9,886
28.9,880
28.9,873
29.0,866
29.0,860
29.1,857
29.1,854
29.2,851
29.2,848
29.3,845
29.4,842
29.4,839
29.5,836
29.5,833
29.6,830
29.6,827
29.7,824
29.6,819
29.6,813
29.6,808
29.5,803
29.4,797
29.4,792
29.4,787
29.3,781
29.2,776
29.2,771
29.2,765
29.1,760
29.0,744
28.8,728
28.7,712
28.6,697
28.5,681
28.4,665
28.2,649
28.1,633
28.0,618
27.8,602
27.7,586
27.6,570
27.6,559
27.6,548
27.6,538
27.6,527
27.6,516
27.6,506
27.5,495
27.5,484
27.5,473
27.5,462
27.5,452
27.5,441
27.4,423
27.3,405
27.2,388
27.1,370
27.0,352
26.9,334
26.8,316
26.7,298
26.6,280
26.5,263
26.4,245
26.3,227
26.2,213
26.0,199
25.9,185
25.8,171
25.6,157
25.5,142
25.4,128
25.2,114
25.1,100
25.0,86
24.8,72
24.7,58
24.6,53
24.5,48
24.4,44
24.2,39
24.1,34
24.0,29
23.9,24
23.8,19
23.6,14
23.5,10
23.4,5
23.3,0
23.2,0
23.1,0
23.0,0
22.8,0
22.7,0
22.6,0
22.5,0
22.4,0
22.2,0
22.1,0
22.0,0
21.9,0
21.8,0
21.7,0
21.6,0
21.5,0
21.4,0
21.4,0
21.3,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.7,0
20.6,0
20.5,0
20.4,0
20.3,0
20.2,0
20.1,0
20.0,0
19.9,0
19.8,0
19.7,0
19.6,0
19.5,0
19.4,0
19.4,0
19.3,0
19.2,0
19.1,0
19.0,0
18.9,0
18.8,0
18.8,0
18.7,0
18.6,0
18.5,0
18.5,0
18.4,0
18.3,0
18.2,0
18.2,0
18.1,0
18.0,0
17.9,0
17.8,0
17.8,0
17.7,0
17.6,0
17.6,0
17.5,0
17.4,0
17.4,0
17.3,0
17.2,0
17.2,0
17.1,0
17.0,0
17.0,0
16.9,0
16.8,0
16.8,0
16.7,0
16.7,0
16.6,0
16.5,0
16.5,0
16.4,0
16.4,0
16.3,0
16.3,0
16.2,0
16.1,0
16.1,0
16.0,0
16.0,0
15.9,0
15.8,0
15.8,0
15.7,0
15.7,0
15.6,0
15.6,0
15.5,0
15.4,0
15.4,0
15.3,0
15.2,0
15.2,0
15.1,0
15.0,0
15.0,0
14.9,0
14.8,0
14.8,0
14.7,0
14.8,5
14.9,11
15.0,16
15.1,21
15.2,27
15.4,32
15.5,37
15.6,43
15.7,48
15.8,53
15.9,59
16.0,64
16.3,80
16.6,97
16.8,113
17.1,130
17.4,146
17.6,162
17.9,179
18.2,195
18.5,212
18.8,228
19.0,245
19.3,261
19.5,280
19.7,299
19.9,318
20.1,336
20.3,355
20.6,374
20.8,393
21.0,412
21.2,430
21.4,449
21.6,468
21.8,487
22.0,505
22.2,523
22.4,540
22.6,558
22.8,576
23.0,594
23.3,612
23.5,630
23.7,648
23.9,665
24.1,683
24.3,701
24.5,716
24.8,731
25.0,746
25.2,761
25.4,776
25.6,791
25.9,806
26.1,821
26.3,836
26.6,851
26.8,866
27.0,881
27.1,890
27.2,900
27.2,909
27.3,919
27.4,928
27.5,938
27.6,947
27.7,956
27.8,966
27.8,975
27.9,985
28.0,994
28.1,1000
28.2,1006
28.2,1013
28.3,1019
28.4,1025
28.5,1032
28.6,1038
28.7,1044
28.8,1050
28.8,1056
28.9,1063
29.0,1069
29.0,1069
29.1,1069
29.2,1068
29.2,1068
29.2,1068
29.3,1068
29.4,1068
29.4,1068
29.4,1068
29.5,1067
29.6,1067
29.6,1067
29.6,1061
29.6,1054
29.6,1048
29.7,1041
29.7,1035
29.7,1028
29.7,1022
29.7,1016
29.8,1009
29.8,1003
29.8,996
29.8,990
29.8,980
29.8,971
29.8,961
29.7,951
29.7,942
29.7,932
29.7,922
29.7,913
29.6,903
29.6,893
29.6,884
29.6,874
29.6,859
29.6,844
29.6,828
29.5,813
29.5,798
29.5,782
29.5,767
29.5,752
29.4,737
29.4,722
29.4,706
29.4,691
29.3,674
29.2,656
29.0,638
28.9,621
28.8,604
28.7,586
28.6,568
28.5,551
28.4,534
28.2,516
28.1,498
28.0,481
27.9,463
27.7,444
27.6,426
27.4,407
27.3,389
27.2,370
27.0,352
26.9,334
26.7,315
26.6,297
26.4,278
26.3,260
26.1,244
26.0,228
25.8,211
25.7,195
25.5,179
25.4,162
25.2,146
25.0,130
24.9,114
24.7,98
24.6,81
24.4,65
24.3,60
24.1,54
24.0,49
23.8,43
23.7,38
23.5,32
23.4,27
23.3,22
23.1,16
23.0,11
22.8,5
22.7,0
22.6,0
22.4,0
22.3,0
22.2,0
22.1,0
22.0,0
21.8,0
21.7,0
21.6,0
21.4,0
21.3,0
21.2,0
21.1,0
21.0,0
21.0,0
20.9,0
20.8,0
20.7,0
20.6,0
20.5,0
20.4,0
20.4,0
20.3,0
20.2,0
20.1,0
20.0,0
19.9,0
19.8,0
19.7,0
19.6,0
19.5,0
19.4,0
19.3,0
19.2,0
19.1,0
19.0,0
18.9,0
18.8,0
18.8,0
18.7,0
18.6,0
18.6,0
18.5,0
18.4,0
18.3,0
18.2,0
18.2,0
18.1,0
18.1,0
18.0,0
18.0,0
18.0,0
17.9,0
17.9,0
17.9,0
17.8,0
17.8,0
17.8,0
17.7,0
17.7,0
17.6,0
17.6,0
17.6,0
17.5,0
17.4,0
17.4,0
17.4,0
17.3,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.0,0
17.0,0
16.9,0
16.9,0
16.8,0
16.8,0
16.8,0
16.7,0
16.7,0
16.6,0
16.6,0
16.6,0
16.5,0
16.5,0
16.4,0
16.4,0
16.3,0
16.2,0
16.2,0
16.2,0
16.1,0
16.0,0
16.0,0
16.0,0
16.0,0
15.9,0
15.9,0
15.9,0
15.8,0
15.8,0
15.8,0
15.8,0
15.8,0
15.7,0
15.7,0
15.8,5
16.0,10
16.1,14
16.2,19
16.3,24
16.4,28
16.6,33
16.7,38
16.8,43
17.0,48
17.1,52
17.2,57
17.4,66
17.6,75
17.8,84
18.0,93
18.2,102
18.4,111
18.7,120
18.9,129
19.1,138
19.3,147
19.5,156
19.7,165
19.9,184
20.1,203
20.3,222
20.5,241
20.7,260
20.8,279
21.0,298
21.2,317
21.4,336
21.6,355
21.8,374
22.0,393
22.2,415
22.4,437
22.6,459
22.9,481
23.1,503
23.3,526
23.5,548
23.7,570
24.0,592
24.2,614
24.4,636
24.6,658
24.8,636
25.1,613
25.3,590
25.5,568
25.8,546
26.0,523
26.2,500
26.5,478
26.7,456
26.9,433
27.2,410
27.4,388
27.5,414
27.6,440
27.7,466
27.8,492
27.9,518
28.0,544
28.0,569
28.1,595
28.2,621
28.3,647
28.4,673
28.5,699
28.5,692
28.6,685
28.6,678
28.6,671
28.7,664
28.7,657
28.7,650
28.8,643
28.8,636
28.8,629
28.9,622
28.9,615
29.0,628
29.0,642
29.1,655
29.1,668
29.2,681
29.2,694
29.3,708
29.4,721
29.4,734
29.5,748
29.5,761
29.6,774
29.6,754
29.5,733
29.5,712
29.5,692
29.4,672
29.4,651
29.4,630
29.3,610
29.3,590
29.3,569
29.2,548
29.2,528
29.2,530
29.3,532
29.4,533
29.4,535
29.4,537
29.5,538
29.6,540
29.6,542
29.6,544
29.7,546
29.8,547
29.8,549
29.6,529
29.5,509
29.3,490
29.1,470
29.0,450
28.8,430
28.6,410
28.5,390
28.3,370
28.1,351
28.0,331
27.8,311
27.8,321
27.7,330
27.7,340
27.7,350
27.6,360
27.6,370
27.6,379
27.5,389
27.5,399
27.5,408
27.4,418
27.4,428
27.3,412
27.1,395
27.0,378
26.8,362
26.7,346
26.6,329
26.4,312
26.3,296
26.1,280
26.0,263
25.8,246
25.7,230
25.6,216
25.4,202
25.3,188
25.2,173
25.0,159
24.9,145
24.8,131
24.6,117
24.5,102
24.4,88
24.2,74
24.1,60
24.0,55
23.8,50
23.7,45
23.6,40
23.5,35
23.4,30
23.2,25
23.1,20
23.0,15
22.8,10
22.7,5
22.6,0
22.5,0
22.5,0
22.4,0
22.4,0
22.3,0
22.2,0
22.2,0
22.1,0
22.1,0
22.0,0
22.0,0
21.9,0
21.8,0
21.8,0
21.7,0
21.7,0
21.6,0
21.5,0
21.5,0
21.4,0
21.4,0
21.3,0
21.3,0
21.2,0
21.2,0
21.1,0
21.1,0
21.1,0
21.0,0
21.0,0
21.0,0
20.9,0
20.9,0
20.9,0
20.8,0
20.8,0
20.8,0
20.8,0
20.8,0
20.8,0
20.8,0
20.8,0
20.7,0
20.7,0
20.7,0
20.7,0
20.7,0
20.7,0
20.7,0
20.6,0
20.6,0
20.5,0
20.5,0
20.4,0
20.4,0
20.4,0
20.3,0
20.3,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.1,0
20.1,0
20.1,0
20.1,0
20.1,0
20.1,0
20.0,0
20.0,0
20.0,0
19.9,0
19.8,0
19.8,0
19.8,0
19.7,0
19.6,0
19.6,0
19.6,0
19.5,0
19.5,0
19.5,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.3,0
19.3,0
19.3,0
19.3,0
19.2,0
19.2,0
19.2,0
19.1,0
19.1,0
19.1,0
19.0,0
19.0,0
19.0,0
18.9,0
18.9,0
19.0,4
19.1,9
19.2,13
19.3,18
19.4,22
19.5,26
19.7,31
19.8,35
19.9,40
20.0,44
20.1,49
20.2,53
20.4,68
20.7,84
20.9,100
21.1,115
21.4,130
21.6,146
21.8,162
22.1,177
22.3,192
22.5,208
22.8,224
23.0,239
23.2,256
23.4,273
23.6,290
23.7,308
23.9,325
24.1,342
24.3,359
24.5,376
24.6,394
24.8,411
25.0,428
25.2,445
25.4,459
25.5,473
25.7,487
25.8,501
26.0,515
26.2,529
26.3,543
26.5,557
26.6,571
26.8,585
26.9,599
27.1,613
27.3,620
27.5,628
27.6,636
27.8,643
28.0,650
28.2,658
28.4,666
28.6,673
28.8,680
28.9,688
29.1,696
29.3,703
29.4,716
29.5,729
29.6,742
29.6,755
29.7,768
29.8,781
29.9,794
30.0,807
30.0,820
30.1,833
30.2,846
30.3,859
30.4,866
30.4,874
30.5,881
30.6,889
30.6,896
30.7,904
30.8,911
30.8,918
30.9,926
31.0,933
31.0,941
31.1,948
31.1,946
31.0,943
31.0,941
31.0,939
31.0,936
31.0,934
30.9,932
30.9,929
30.9,927
30.8,925
30.8,922
30.8,920
30.8,907
30.7,894
30.7,880
30.6,867
30.6,854
30.6,840
30.5,827
30.5,814
30.4,801
30.4,788
30.3,774
30.3,761
30.2,730
30.0,700
29.8,669
29.7,639
29.6,608
29.4,578
29.2,547
29.1,516
29.0,486
28.8,455
28.6,425
28.5,394
28.5,386
28.5,379
28.5,371
28.5,364
28.5,356
28.5,348
28.5,341
28.5,333
28.5,326
28.5,318
28.5,311
28.5,303
28.4,305
28.2,308
28.0,310
27.9,312
27.8,315
27.6,317
27.4,319
27.3,322
27.2,324
27.0,326
26.8,329
26.7,331
26.7,316
26.7,302
26.8,288
26.8,273
26.8,258
26.8,244
26.8,230
26.8,215
26.8,200
26.9,186
26.9,172
26.9,157
26.8,149
26.7,140
26.6,132
26.5,124
26.4,116
26.2,108
26.1,99
26.0,91
25.9,83
25.8,74
25.7,66
25.6,58
25.5,53
25.4,48
25.2,44
25.1,39
25.0,34
