T_Amb,GlobHor
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.3,0
20.3,0
20.3,0
20.3,0
20.3,0
20.3,0
20.3,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.1,0
20.1,0
20.1,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
19.9,0
19.9,0
19.9,0
19.9,0
19.9,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.7,0
19.7,0
19.7,0
19.7,0
19.7,0
19.7,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.5,0
19.5,0
19.5,0
19.5,2
19.5,4
19.6,6
19.6,7
19.6,9
19.6,11
19.6,13
19.6,15
19.6,16
19.7,18
19.7,20
19.7,22
19.7,28
19.8,34
19.8,40
19.9,47
19.9,53
20.0,59
20.0,65
20.0,71
20.1,78
20.1,84
20.2,90
20.2,96
20.3,103
20.4,110
20.5,117
20.6,124
20.7,131
20.8,138
20.8,146
20.9,153
21.0,160
21.1,167
21.2,174
21.3,181
21.4,182
21.4,183
21.4,184
21.5,186
21.6,187
21.6,188
21.6,189
21.7,190
21.8,192
21.8,193
21.8,194
21.9,195
21.9,206
21.9,218
21.9,229
21.9,241
21.9,252
21.9,264
21.9,275
21.9,286
21.9,298
21.9,309
21.9,321
21.9,332
21.9,318
21.9,305
21.9,291
21.9,278
21.9,264
21.9,250
21.9,237
21.9,223
21.9,210
21.9,196
21.9,183
21.9,169
21.9,177
22.0,185
22.0,193
22.0,201
22.1,209
22.1,217
22.1,225
22.2,233
22.2,241
22.2,249
22.3,257
22.3,265
22.4,291
22.6,318
22.8,344
22.9,370
23.0,396
23.2,422
23.4,449
23.5,475
23.7,501
23.8,528
24.0,554
24.1,580
24.1,568
24.1,556
24.2,544
24.2,531
24.2,519
24.2,507
24.2,495
24.2,483
24.2,470
24.3,458
24.3,446
24.3,434
24.4,447
24.5,461
24.6,474
24.7,487
24.8,501
24.9,514
25.0,527
25.1,541
25.2,554
25.3,567
25.4,581
25.5,594
25.4,572
25.4,550
25.3,528
25.2,506
25.1,484
25.0,462
25.0,440
24.9,418
24.8,396
24.8,374
24.7,352
24.6,330
24.6,326
24.5,322
24.5,318
24.4,314
24.4,310
24.4,306
24.3,302
24.3,298
24.2,294
24.2,290
24.1,286
24.1,282
24.0,271
23.8,259
23.7,248
23.5,236
23.4,225
23.2,214
23.0,202
22.9,191
22.8,179
22.6,168
22.4,156
22.3,145
22.2,134
22.1,124
22.0,113
21.9,102
21.8,91
21.8,80
21.7,70
21.6,59
21.5,48
21.4,38
21.3,27
21.2,16
21.1,15
21.0,13
21.0,12
20.9,11
20.8,9
20.8,8
20.7,7
20.6,5
20.5,4
20.4,3
20.4,1
20.3,0
20.2,0
20.2,0
20.2,0
20.1,0
20.0,0
20.0,0
20.0,0
19.9,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.7,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.9,0
19.9,0
19.9,0
19.9,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.7,0
19.6,0
19.6,0
19.6,0
19.5,0
19.5,0
19.5,0
19.5,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.3,0
19.3,0
19.3,0
19.3,0
19.2,0
19.2,0
19.2,0
19.2,0
19.2,0
19.1,0
19.1,0
19.1,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.7,0
18.7,0
18.7,0
18.7,0
18.7,0
18.7,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.4,0
18.4,0
