T_Amb,GlobHor
26.7,0
26.6,0
26.6,0
26.5,0
26.5,0
26.4,0
26.4,0
26.3,0
26.2,0
26.2,0
26.1,0
26.1,0
26.0,0
26.0,0
26.0,0
25.9,0
25.9,0
25.9,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.7,0
25.7,0
25.7,0
25.7,0
25.7,0
25.7,0
25.7,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,0
25.8,1
25.8,1
25.8,1
25.8,1
25.8,1
25.8,1
25.9,10
25.9,18
26.0,27
26.1,35
26.1,44
26.2,52
26.3,61
26.3,70
26.4,78
26.5,87
26.5,95
26.6,104
26.8,123
26.9,141
27.1,160
27.2,178
27.4,197
27.6,216
27.7,234
27.9,253
28.0,271
28.2,290
28.3,308
28.5,327
28.6,346
28.8,366
28.9,386
29.0,405
29.2,424
29.3,444
29.4,464
29.6,483
29.7,502
29.8,522
30.0,542
30.1,561
30.2,578
30.2,594
30.3,611
30.4,628
30.4,644
30.5,661
30.6,678
30.6,694
30.7,711
30.8,728
30.8,744
30.9,761
30.9,763
30.9,765
31.0,768
31.0,770
31.0,772
31.0,774
31.0,776
31.0,778
31.0,780
31.1,783
31.1,785
31.1,787
31.1,797
31.2,807
31.2,817
31.2,827
31.2,837
31.2,848
31.3,858
31.3,868
31.3,878
31.4,888
31.4,898
31.4,908
31.3,907
31.3,906
31.2,905
31.2,904
31.1,903
31.0,902
31.0,901
30.9,900
30.9,899
30.8,898
30.8,897
30.7,896
30.7,895
30.7,894
30.7,894
30.7,893
30.7,892
30.7,892
30.7,891
30.7,890
30.7,889
30.7,888
30.7,888
30.7,887
30.7,878
30.8,868
30.8,859
30.8,850
30.9,840
30.9,831
30.9,822
31.0,812
31.0,803
31.0,794
31.1,784
31.1,775
31.1,763
31.0,751
31.0,739
31.0,727
30.9,715
30.9,703
30.9,691
30.8,679
30.8,667
30.8,655
30.7,643
30.7,631
30.7,618
30.7,605
30.7,592
30.7,580
30.7,567
30.6,554
30.6,541
30.6,528
30.6,516
30.6,503
30.6,490
30.6,477
30.5,457
30.5,437
30.4,416
30.3,396
30.3,376
30.2,356
30.1,336
30.1,316
30.0,296
29.9,275
29.9,255
29.8,235
29.7,219
29.6,203
29.5,187
29.4,171
29.3,155
29.2,139
29.2,123
29.1,107
29.0,91
28.9,75
28.8,59
28.7,43
28.7,39
28.7,36
28.6,32
28.6,29
28.6,25
28.6,22
28.6,18
28.6,14
28.6,11
28.5,7
28.5,4
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.5,0
28.4,0
28.4,0
28.4,0
28.3,0
28.2,0
28.2,0
28.2,0
28.1,0
28.0,0
28.0,0
28.0,0
27.9,0
27.9,0
27.9,0
27.9,0
27.9,0
27.9,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.8,0
27.7,0
27.7,0
27.7,0
27.7,0
27.7,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.6,0
27.5,0
27.5,0
27.5,0
27.5,0
27.5,0
27.5,0
27.5,0
27.5,0
27.4,0
27.4,0
27.4,0
27.4,0
27.4,0
27.4,0
27.4,0
27.3,0
27.3,0
27.3,0
27.3,0
27.3,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.1,0
27.1,0
27.1,0
27.1,0
27.1,0
27.0,0
27.0,0
27.0,0
27.0,0
27.0,0
27.0,0
27.0,0
26.9,0
26.9,0
26.9,0
26.9,0
26.9,0
26.9,0
26.9,0
26.9,0
26.8,0
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.9,9
27.0,17
27.0,26
27.1,34
27.2,42
27.3,50
27.4,58
27.5,66
27.6,74
27.6,83
27.7,91
27.8,99
28.0,117
28.1,136
28.2,154
28.4,173
28.6,191
28.7,210
28.8,228
29.0,246
29.2,265
29.3,283
29.4,302
29.6,320
29.8,339
29.9,358
30.1,377
30.2,396
30.4,415
30.6,434
30.7,453
30.9,472
31.0,491
31.2,510
31.3,529
31.5,548
31.6,565
31.8,581
31.9,598
32.0,615
32.2,631
32.3,648
32.4,665
32.6,681
32.7,698
32.8,715
33.0,731
33.1,748
33.2,754
33.2,760
33.3,766
33.3,771
33.4,777
33.4,783
33.5,789
33.6,795
33.6,800
33.7,806
33.7,812
33.8,818
33.7,826
33.6,834
33.6,841
33.5,849
33.4,857
33.3,864
33.2,872
33.1,880
33.0,888
33.0,896
32.9,903
32.8,911
32.7,915
32.6,919
32.5,923
32.4,927
32.3,931
32.2,934
32.1,938
32.0,942
31.9,946
31.8,950
31.7,954
31.6,958
31.6,940
31.6,921
31.5,902
31.5,884
31.5,866
31.4,847
31.4,828
31.4,810
31.4,792
31.4,773
31.3,754
31.3,736
31.3,738
31.2,739
31.2,740
31.2,742
31.1,744
31.1,745
31.1,746
31.0,748
31.0,750
31.0,751
30.9,752
30.9,754
30.7,734
30.6,714
30.4,695
30.2,675
30.0,655
29.8,636
29.7,616
29.5,596
29.3,576
29.2,556
29.0,537
28.8,517
28.8,489
28.8,461
28.8,433
28.9,405
28.9,377
28.9,348
28.9,320
28.9,292
29.0,264
29.0,236
29.0,208
29.0,180
29.0,180
29.0,179
29.1,178
29.1,178
29.1,178
29.2,177
29.2,176
29.2,176
29.2,176
29.2,175
29.3,174
29.3,174
29.3,163
29.2,151
29.2,140
29.1,129
29.1,117
29.0,106
29.0,95
29.0,83
28.9,72
28.9,61
28.8,49
28.8,38
28.8,35
28.8,32
28.8,28
28.8,25
28.8,22
28.8,19
28.9,16
28.9,13
28.9,10
28.9,6
28.9,3
28.9,0
28.9,0
28.9,0
28.9,0
28.9,0
28.9,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.9,0
28.9,0
28.9,0
28.9,0
28.9,0
29.0,0
29.0,0
29.0,0
29.0,0
29.0,0
29.0,0
28.9,0
28.9,0
28.9,0
28.8,0
28.8,0
28.8,0
28.8,0
28.8,0
28.7,0
28.7,0
28.7,0
28.6,0
28.6,0
28.6,0
28.5,0
28.5,0
28.5,0
28.4,0
28.4,0
28.4,0
28.3,0
28.3,0
28.2,0
28.2,0
28.1,0
28.1,0
28.0,0
28.0,0
27.9,0
27.8,0
27.8,0
27.7,0
27.7,0
27.6,0
27.6,0
27.6,0
27.5,0
27.5,0
27.5,0
27.4,0
27.4,0
27.4,0
27.4,0
27.4,0
27.3,0
27.3,0
27.3,0
27.3,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.2,0
27.1,0
27.1,0
27.1,0
27.0,0
27.0,0
27.0,0
26.9,0
26.8,0
26.8,0
26.8,0
26.7,0
26.6,0
26.6,0
26.6,0
26.5,0
26.4,0
26.4,0
26.4,0
26.3,0
26.2,0
26.2,0
26.2,0
26.1,0
26.0,0
26.0,0
26.0,0
25.9,0
25.9,0
25.8,0
25.8,0
25.8,0
25.7,0
25.7,0
25.7,0
25.6,0
25.6,0
25.6,0
25.5,0
25.5,0
25.5,1
25.5,2
25.6,2
25.6,3
25.6,4
25.6,5
25.6,6
25.6,7
25.6,8
25.7,8
25.7,9
25.7,10
25.6,14
25.6,17
25.5,20
25.5,24
25.4,28
25.4,31
25.3,34
25.2,38
25.2,42
25.1,45
25.1,48
25.0,52
25.2,57
25.3,62
25.5,67
25.7,72
25.8,77
26.0,82
26.2,87
26.3,92
26.5,97
26.7,102
26.8,107
27.0,112
27.3,138
27.5,164
27.8,190
28.0,216
28.3,242
28.6,268
28.8,294
29.1,320
29.3,346
29.6,372
29.8,398
30.1,424
30.1,437
30.1,450
30.2,462
30.2,475
30.2,488
30.2,500
30.2,513
30.2,526
30.2,539
30.3,552
30.3,564
30.3,577
30.4,602
30.5,628
30.6,654
30.7,679
30.8,704
31.0,730
31.1,756
31.2,781
31.3,806
31.4,832
31.5,858
31.6,883
31.6,891
31.6,898
31.7,906
31.7,913
31.7,921
31.8,928
31.8,936
31.8,944
31.8,951
31.8,959
31.9,966
31.9,974
31.9,963
32.0,953
32.0,942
32.0,932
32.1,921
32.1,910
32.1,900
32.2,889
32.2,879
32.2,868
32.3,858
32.3,847
32.4,842
32.5,838
32.6,833
32.6,828
32.7,823
32.8,818
32.9,814
33.0,809
33.0,804
33.1,800
33.2,795
33.3,790
33.3,778
33.3,765
33.3,752
33.4,740
33.4,728
33.4,715
33.4,702
33.4,690
33.4,678
33.5,665
33.5,652
33.5,640
33.5,625
33.5,609
33.5,594
33.5,579
33.5,563
33.4,548
33.4,533
33.4,517
33.4,502
33.4,487
33.4,471
33.4,456
33.2,434
33.0,411
32.8,389
32.6,366
32.4,344
32.2,322
31.9,299
31.7,277
31.5,254
31.3,232
31.1,209
30.9,187
30.8,174
30.7,161
30.6,148
30.6,135
30.5,122
30.4,110
30.3,97
30.2,84
30.2,71
30.1,58
30.0,45
29.9,32
29.9,29
29.9,27
29.8,24
29.8,21
29.8,19
29.8,16
29.8,13
29.8,11
29.8,8
29.7,5
29.7,3
29.7,0
29.6,0
29.6,0
