T_Amb,GlobHor
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.7,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.5,0
19.5,0
19.5,0
19.5,0
19.5,0
19.5,0
19.5,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,0
19.5,0
19.5,0
19.5,0
19.5,0
19.5,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.6,0
19.5,0
19.5,0
19.5,0
19.5,0
19.5,0
19.4,0
19.4,0
19.4,0
19.4,0
19.4,2
19.4,4
19.5,6
19.5,8
19.5,10
19.5,12
19.6,13
19.6,15
19.6,17
19.6,19
19.7,21
19.7,23
19.8,39
19.9,54
20.0,70
20.0,85
20.1,101
20.2,116
20.3,132
20.4,148
20.4,163
20.5,179
20.6,194
20.7,210
20.8,229
20.9,248
21.0,268
21.2,287
21.3,306
21.4,326
21.5,345
21.6,364
21.8,383
21.9,402
22.0,422
22.1,441
22.2,460
22.3,478
22.4,496
22.5,515
22.6,534
22.8,552
22.9,570
23.0,589
23.1,608
23.2,626
23.3,644
23.4,663
23.5,676
23.6,689
23.8,702
23.9,716
24.0,729
24.1,742
24.2,755
24.3,768
24.4,782
24.6,795
24.7,808
24.8,821
24.9,816
25.0,812
25.0,807
25.1,802
25.2,798
25.3,793
25.4,788
25.5,784
25.6,779
25.6,774
25.7,770
25.8,765
25.9,784
26.0,803
26.1,822
26.2,840
26.3,859
26.4,878
26.4,897
26.5,916
26.6,934
26.7,953
26.8,972
26.9,991
27.0,993
27.0,996
27.0,998
27.1,1000
27.2,1002
27.2,1004
27.2,1007
27.3,1009
27.4,1011
27.4,1014
27.4,1016
27.5,1018
27.5,1015
27.6,1013
27.6,1010
27.7,1008
27.7,1005
27.8,1002
27.8,1000
27.8,997
27.9,995
27.9,992
28.0,990
28.0,987
27.9,973
27.8,959
27.8,945
27.7,931
27.6,917
27.5,902
27.4,888
27.3,874
27.2,860
27.2,846
27.1,832
27.0,818
27.0,799
27.0,780
27.0,761
26.9,742
26.9,723
26.9,704
26.9,685
26.9,666
26.8,647
26.8,628
26.8,609
26.8,590
26.7,575
26.6,560
26.6,544
26.5,529
26.4,514
26.3,499
26.2,484
26.1,469
26.0,454
26.0,438
25.9,423
25.8,408
25.8,392
25.7,375
25.7,359
25.7,343
25.6,326
25.6,310
25.6,294
25.5,277
25.5,261
25.5,245
25.4,228
25.4,212
25.2,199
25.1,185
25.0,172
24.8,158
24.6,145
24.5,132
24.4,118
24.2,105
24.0,91
23.9,78
23.8,64
23.6,51
23.5,47
23.5,42
23.4,38
23.3,34
23.2,30
23.2,26
23.1,21
23.0,17
22.9,13
22.8,8
22.8,4
22.7,0
22.6,0
22.6,0
22.5,0
22.4,0
22.3,0
22.2,0
22.2,0
22.1,0
22.0,0
22.0,0
21.9,0
21.8,0
21.7,0
21.7,0
21.6,0
21.6,0
21.5,0
21.5,0
21.4,0
21.3,0
21.3,0
21.2,0
21.2,0
21.1,0
21.0,0
21.0,0
20.9,0
20.8,0
20.8,0
20.7,0
20.6,0
20.6,0
20.5,0
20.4,0
20.4,0
20.3,0
20.2,0
20.2,0
20.1,0
20.0,0
19.9,0
19.8,0
19.8,0
19.7,0
19.6,0
19.5,0
19.5,0
19.4,0
19.3,0
19.3,0
19.2,0
19.2,0
19.1,0
19.0,0
19.0,0
18.9,0
18.9,0
18.8,0
18.8,0
18.7,0
18.7,0
18.6,0
18.6,0
18.5,0
18.5,0
18.4,0
18.4,0
18.4,0
18.3,0
18.3,0
18.2,0
18.2,0
18.2,0
18.2,0
18.1,0
18.1,0
18.1,0
18.0,0
18.0,0
18.0,0
18.0,0
18.0,0
17.9,0
17.9,0
17.8,0
17.8,0
17.8,0
17.7,0
17.6,0
17.6,0
17.6,0
17.5,0
17.4,0
17.4,0
17.4,0
17.3,0
17.3,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.1,0
17.0,0
17.0,0
17.0,0
17.1,4
17.2,8
17.4,12
17.5,15
17.6,19
17.7,23
17.8,27
17.9,31
18.0,34
18.2,38
18.3,42
18.4,46
18.6,62
18.8,78
18.9,93
19.1,109
19.3,125
19.4,140
19.6,156
19.8,172
20.0,188
20.2,204
20.3,219
20.5,235
20.7,254
20.8,273
21.0,292
21.2,311
21.4,330
21.6,348
21.7,367
21.9,386
22.1,405
22.2,424
22.4,443
22.6,462
22.7,480
22.9,498
23.0,516
23.2,534
23.3,552
23.5,570
23.6,589
23.7,607
23.9,625
24.0,643
24.2,661
24.3,679
24.4,694
24.6,710
24.8,725
24.9,740
25.0,756
25.2,771
25.4,786
25.5,802
25.6,817
25.8,832
26.0,848
26.1,863
26.2,871
26.4,879
26.5,887
26.6,895
26.7,903
26.8,911
27.0,919
27.1,927
27.2,935
27.4,943
27.5,951
27.6,959
27.7,958
27.8,958
27.8,957
27.9,956
28.0,956
28.1,955
28.2,954
28.3,954
28.4,953
28.4,952
28.5,952
28.6,951
28.6,940
28.7,929
28.8,918
28.8,907
28.8,896
28.9,885
29.0,874
29.0,863
29.0,852
29.1,841
29.2,830
29.2,819
29.3,816
29.3,813
29.4,810
29.5,807
29.5,804
29.6,800
29.7,797
29.7,794
29.8,791
29.9,788
29.9,785
30.0,782
30.0,782
30.1,783
30.2,783
30.2,783
30.2,784
30.3,784
30.4,784
30.4,785
30.4,785
30.5,785
30.6,786
30.6,786
30.6,768
30.5,750
30.5,732
30.5,715
30.4,697
30.4,679
30.4,661
30.3,643
30.3,626
30.3,608
30.2,590
30.2,572
30.2,548
30.1,523
30.1,499
30.0,474
30.0,450
30.0,426
29.9,401
29.9,377
29.8,352
29.8,328
29.7,303
29.7,279
29.6,275
29.5,271
29.4,267
29.3,263
29.2,259
29.2,254
29.1,250
29.0,246
28.9,242
28.8,238
28.7,234
28.6,230
28.4,215
28.2,200
28.1,185
27.9,170
27.7,155
27.6,140
27.4,126
27.2,111
27.0,96
26.8,81
26.7,66
26.5,51
26.4,47
26.2,42
26.0,38
25.9,34
25.8,30
25.6,26
25.4,21
25.3,17
25.2,13
25.0,8
24.8,4
24.7,0
24.6,0
24.5,0
24.4,0
24.3,0
24.2,0
24.2,0
24.1,0
24.0,0
23.9,0
23.8,0
23.7,0
23.6,0
23.6,0
23.6,0
23.5,0
23.5,0
23.5,0
23.5,0
23.4,0
23.4,0
23.4,0
23.4,0
23.3,0
23.3,0
23.2,0
23.1,0
23.0,0
22.9,0
22.8,0
22.8,0
22.7,0
22.6,0
22.5,0
22.4,0
22.3,0
22.2,0
22.1,0
22.0,0
21.9,0
21.8,0
21.7,0
21.5,0
21.4,0
21.3,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.7,0
20.6,0
20.5,0
20.4,0
20.2,0
20.1,0
20.0,0
19.9,0
19.8,0
19.7,0
19.6,0
19.5,0
19.3,0
19.2,0
19.1,0
18.9,0
18.8,0
18.7,0
18.5,0
18.4,0
18.3,0
18.1,0
18.0,0
18.0,0
17.9,0
17.8,0
17.8,0
17.8,0
17.7,0
17.6,0
17.6,0
17.5,0
17.5,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.3,0
17.3,0
17.2,0
17.2,0
17.2,0
17.1,0
17.0,0
17.0,0
17.0,0
16.9,0
16.8,0
16.8,0
16.9,4
17.1,8
17.2,11
17.3,15
17.5,19
17.6,22
17.7,26
17.9,30
18.0,34
18.1,38
18.3,41
18.4,45
18.6,61
18.8,77
19.0,92
19.2,108
19.4,124
19.5,140
19.7,156
19.9,172
20.1,188
20.3,203
20.5,219
20.7,235
20.9,254
21.1,273
21.2,292
21.4,311
21.6,330
21.8,350
22.0,369
22.2,388
22.3,407
22.5,426
