REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2021-01-01 00:00:00,6181.11,40.17,TRADE
QLD1,2021-01-01 00:30:00,5973.9,36.53,TRADE
QLD1,2021-01-01 01:00:00,5867.24,39.01,TRADE
QLD1,2021-01-01 01:30:00,5767.21,34.07,TRADE
QLD1,2021-01-01 02:00:00,5702.36,33.92,TRADE
QLD1,2021-01-01 02:30:00,5606.18,28.85,TRADE
QLD1,2021-01-01 03:00:00,5588.26,27.8,TRADE
QLD1,2021-01-01 03:30:00,5526.18,26.55,TRADE
QLD1,2021-01-01 04:00:00,5529.29,27.44,TRADE
QLD1,2021-01-01 04:30:00,5547.91,30.19,TRADE
QLD1,2021-01-01 05:00:00,5527.46,31.73,TRADE
QLD1,2021-01-01 05:30:00,5481.7,30.04,TRADE
QLD1,2021-01-01 06:00:00,5373.57,25.88,TRADE
QLD1,2021-01-01 06:30:00,5361.18,20.12,TRADE
QLD1,2021-01-01 07:00:00,5330.22,7.03,TRADE
QLD1,2021-01-01 07:30:00,5335.44,21.59,TRADE
QLD1,2021-01-01 08:00:00,5297.2,13.07,TRADE
QLD1,2021-01-01 08:30:00,5336.57,21.13,TRADE
QLD1,2021-01-01 09:00:00,5506.91,27.16,TRADE
QLD1,2021-01-01 09:30:00,5530.48,32.07,TRADE
QLD1,2021-01-01 10:00:00,5518.18,30.97,TRADE
QLD1,2021-01-01 10:30:00,5443.93,26.87,TRADE
QLD1,2021-01-01 11:00:00,5479.05,27.31,TRADE
QLD1,2021-01-01 11:30:00,5471.13,26.96,TRADE
QLD1,2021-01-01 12:00:00,5550.32,29.52,TRADE
QLD1,2021-01-01 12:30:00,5606.94,31.71,TRADE
QLD1,2021-01-01 13:00:00,5581.49,31.36,TRADE
QLD1,2021-01-01 13:30:00,5594.84,29.18,TRADE
QLD1,2021-01-01 14:00:00,5698.3,31.41,TRADE
QLD1,2021-01-01 14:30:00,5885.33,30.55,TRADE
QLD1,2021-01-01 15:00:00,6093.36,31.24,TRADE
QLD1,2021-01-01 15:30:00,6265.12,30.59,TRADE
QLD1,2021-01-01 16:00:00,6385.6,34.27,TRADE
QLD1,2021-01-01 16:30:00,6572.08,33.25,TRADE
QLD1,2021-01-01 17:00:00,6871.54,37.76,TRADE
QLD1,2021-01-01 17:30:00,6951.18,34.65,TRADE
QLD1,2021-01-01 18:00:00,7134.44,37.97,TRADE
