T_Amb,GlobHor
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.0,0
17.0,0
17.0,0
16.9,0
16.9,0
16.8,0
16.8,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,0
16.7,3
16.8,6
16.8,10
16.8,13
16.9,16
16.9,19
16.9,22
17.0,25
17.0,28
17.0,32
17.1,35
17.1,38
17.2,48
17.3,59
17.4,69
17.4,80
17.5,90
17.6,100
17.7,111
17.8,121
17.8,132
17.9,142
18.0,153
18.1,163
18.2,167
18.2,171
18.2,176
18.3,180
18.4,184
18.4,188
18.4,192
18.5,196
18.6,200
18.6,205
18.6,209
18.7,213
18.8,238
19.0,262
19.1,286
19.3,311
19.4,336
19.5,360
19.7,384
19.8,409
20.0,434
20.1,458
20.3,482
20.4,507
20.5,496
20.6,486
20.8,476
20.9,465
21.0,454
21.1,444
21.2,434
21.3,423
21.4,412
21.6,402
21.7,392
21.8,381
21.6,378
21.4,375
21.3,372
21.1,368
20.9,365
20.8,362
20.6,359
20.4,356
20.2,352
20.0,349
19.9,346
19.7,343
19.7,350
19.7,356
19.7,363
19.7,370
19.7,377
19.8,384
19.8,390
19.8,397
19.8,404
19.8,410
19.8,417
19.8,424
19.8,438
19.8,451
19.8,464
19.7,478
19.7,492
19.7,505
19.7,518
19.7,532
19.7,546
19.6,559
19.6,572
19.6,586
19.7,583
19.7,580
19.8,576
19.9,573
19.9,570
20.0,567
20.1,564
20.1,561
20.2,558
20.3,554
20.3,551
20.4,548
20.4,542
20.5,536
20.5,530
20.6,523
20.6,517
20.6,511
20.7,505
20.7,499
20.8,492
20.8,486
20.9,480
20.9,474
20.9,475
21.0,477
21.0,478
21.1,480
21.1,481
21.2,482
21.2,484
21.2,485
21.3,487
21.3,488
21.4,490
21.4,491
21.2,476
21.1,461
20.9,446
20.7,432
20.6,417
20.4,402
20.2,387
20.1,372
19.9,358
19.7,343
19.6,328
19.4,313
19.3,298
19.2,282
19.2,267
19.1,252
19.0,236
18.9,221
18.8,206
18.7,190
18.6,175
18.6,160
18.5,144
18.4,129
18.3,121
18.2,114
18.1,106
18.0,99
17.9,91
17.8,84
17.8,76
17.7,68
17.6,61
17.5,53
17.4,46
17.3,38
17.3,35
17.3,32
17.3,28
17.3,25
17.3,22
17.3,19
17.3,16
17.3,13
17.3,10
17.3,6
17.3,3
17.3,0
17.3,0
17.3,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.4,0
17.5,0
17.5,0
17.5,0
17.5,0
17.5,0
17.6,0
17.6,0
17.6,0
17.6,0
17.6,0
17.6,0
17.6,0
17.7,0
17.7,0
17.7,0
17.7,0
17.6,0
17.6,0
17.6,0
17.5,0
17.5,0
17.5,0
17.4,0
17.4,0
17.4,0
17.3,0
17.3,0
17.3,0
17.3,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.1,0
17.1,0
17.1,0
17.0,0
17.0,0
17.0,0
17.0,0
17.0,0
17.0,0
17.0,0
16.9,0
16.9,0
16.9,0
16.9,0
16.9,0
16.8,0
16.8,0
16.8,0
16.8,0
16.8,0
16.8,0
16.8,0
16.7,0
16.7,0
16.7,0
16.7,0
16.6,0
16.6,0
16.5,0
16.5,0
16.4,0
16.4,0
16.4,0
16.3,0
16.3,0
16.2,0
16.2,0
16.2,0
16.2,0
16.1,0
16.1,0
16.1,0
16.0,0
16.0,0
16.0,0
16.0,0
16.0,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
15.9,0
16.0,5
16.0,9
16.1,14
16.2,18
16.2,23
16.3,28
16.4,32
16.4,37
16.5,41
16.6,46
16.6,50
16.7,55
16.8,70
17.0,86
17.1,101
17.2,116
17.4,132
17.5,147
17.6,162
17.8,178
17.9,193
18.0,208
18.2,224
18.3,239
18.5,255
18.6,272
18.8,288
18.9,304
19.1,321
19.2,337
19.4,353
19.6,370
19.7,386
19.9,402
20.0,419
20.2,435
20.3,448
20.5,460
20.6,473
20.7,486
20.9,498
21.0,511
21.1,524
21.3,536
21.4,549
21.5,562
21.7,574
21.8,587
21.9,582
22.0,577
22.1,572
22.2,567
22.3,562
22.4,558
22.5,553
22.6,548
22.7,543
22.8,538
22.9,533
23.0,528
23.1,551
23.2,574
23.4,597
23.5,620
23.6,643
23.8,666
23.9,688
24.0,711
24.1,734
24.2,757
24.4,780
24.5,803
24.6,811
24.7,818
24.8,826
24.8,833
24.9,841
25.0,848
25.1,856
25.2,864
25.2,871
25.3,879
25.4,886
25.5,894
25.5,893
25.6,892
25.6,890
25.6,889
25.6,888
25.6,887
25.7,886
25.7,885
25.7,884
25.8,882
25.8,881
25.8,880
25.8,877
25.8,873
25.9,870
25.9,866
25.9,863
26.0,860
26.0,856
26.0,853
26.0,849
26.0,846
26.1,842
26.1,839
26.1,832
26.0,825
26.0,818
25.9,811
25.9,804
25.8,796
25.8,789
25.8,782
25.7,775
25.7,768
25.6,761
25.6,754
25.6,731
25.5,708
25.5,685
25.4,662
25.4,639
25.3,616
25.2,594
25.2,571
25.2,548
25.1,525
25.0,502
25.0,479
25.0,473
24.9,466
24.8,460
24.8,453
24.8,447
24.7,440
24.6,434
24.6,428
24.5,421
24.5,415
24.4,408
24.4,402
24.3,378
24.1,354
24.0,330
23.8,305
23.7,281
23.5,257
23.4,233
23.3,209
23.1,184
23.0,160
22.8,136
22.7,112
22.6,105
22.4,98
22.2,91
22.1,84
22.0,77
21.8,70
21.6,63
21.5,56
21.3,49
21.2,42
21.0,35
20.9,28
20.8,26
20.7,23
20.6,21
20.6,19
20.5,16
20.4,14
20.3,12
20.2,9
20.2,7
20.1,5
20.0,2
19.9,0
19.8,0
19.7,0
19.6,0
19.5,0
19.4,0
19.4,0
19.3,0
19.2,0
19.1,0
19.0,0
18.9,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.8,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.8,0
18.8,0
18.8,0
18.7,0
18.6,0
18.6,0
18.6,0
18.5,0
18.4,0
18.4,0
18.4,0
18.3,0
18.2,0
18.2,0
18.1,0
18.1,0
18.0,0
18.0,0
17.9,0
17.8,0
17.8,0
17.7,0
17.7,0
17.6,0
17.5,0
17.5,0
17.4,0
17.3,0
17.3,0
17.2,0
17.1,0
17.1,0
17.0,0
16.9,0
16.9,0
16.8,0
16.8,0
16.7,0
16.6,0
16.6,0
16.6,0
16.5,0
16.4,0
16.4,0
16.4,0
16.3,0
16.2,0
16.2,0
16.2,0
16.1,0
16.1,0
16.1,0
16.0,0
16.0,0
16.0,0
15.9,0
15.9,0
15.9,0
15.8,0
15.8,0
15.8,0
15.8,0
15.8,0
15.7,0
15.7,0
15.7,0
15.7,0
15.7,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.6,0
15.7,5
15.8,10
15.8,15
15.9,20
16.0,25
16.1,30
16.2,34
16.3,39
16.4,44
16.4,49
16.5,54
16.6,59
16.8,76
16.9,93
17.1,110
17.2,128
17.4,145
17.6,162
17.7,179
17.9,196
18.0,214
18.2,231
18.3,248
18.5,265
18.6,285
18.8,304
18.9,324
19.1,344
19.2,364
19.4,384
19.5,403
19.6,423
19.8,443
19.9,462
20.1,482
20.2,502
20.3,520
20.5,538
20.6,557
20.8,575
21.0,593
21.1,612
21.2,630
21.4,648
21.6,666
21.7,684
21.8,703
22.0,721
22.3,736
22.6,751
22.8,766
23.1,780
23.4,795
23.7,810
24.0,825
24.3,840
24.5,854
24.8,869
25.1,884
25.4,899
25.4,892
25.5,884
25.5,876
25.5,869
25.6,862
25.6,854
25.6,846
25.7,839
25.7,832
25.7,824
25.8,816
25.8,809
25.9,816
26.0,824
26.1,831
26.2,838
26.3,845
26.4,852
26.5,860
26.6,867
26.7,874
26.8,882
26.9,889
27.0,896
27.1,898
27.1,900
27.2,902
27.2,905
27.3,907
27.4,909
27.4,911
27.5,913
27.5,916
27.6,918
27.6,920
27.7,922
27.7,901
27.7,880
27.7,858
27.7,837
27.7,816
27.7,794
27.7,773
27.7,752
27.7,731
27.7,710
27.7,688
27.7,667
27.8,678
27.9,688
28.0,699
28.1,710
28.2,721
28.4,732
28.5,742
28.6,753
28.7,764
28.8,774
28.9,785
29.0,796
28.9,766
28.8,736
28.7,706
28.6,676
28.5,646
28.4,616
28.3,586
28.2,556
28.1,526
28.0,496
27.9,466
27.8,436
27.9,436
27.9,436
28.0,436
28.0,435
28.1,435
28.2,435
28.2,435
28.3,435
28.3,434
28.4,434
28.4,434
28.5,434
28.3,414
28.2,395
28.0,375
27.8,355
27.6,336
27.4,316
27.3,296
27.1,277
26.9,257
26.8,237
26.6,218
26.4,198
26.2,185
25.9,171
25.6,158
25.4,145
25.2,131
24.9,118
24.6,105
24.4,91
24.2,78
23.9,65
23.6,51
23.4,38
23.2,35
23.1,32
23.0,28
22.8,25
22.6,22
22.5,19
22.4,16
22.2,13
22.0,10
21.9,6
21.8,3
21.6,0
21.5,0
21.5,0
21.4,0
21.3,0
21.2,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.8,0
20.7,0
20.7,0
20.8,0
20.8,0
20.9,0
20.9,0
21.0,0
21.0,0
21.0,0
21.1,0
21.1,0
21.2,0
21.2,0
21.1,0
20.9,0
20.8,0
20.7,0
20.5,0
20.4,0
20.3,0
20.1,0
20.0,0
19.9,0
19.7,0
19.6,0
19.5,0
19.5,0
19.4,0
19.4,0
19.3,0
19.2,0
19.2,0
19.1,0
19.1,0
19.0,0
19.0,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
19.0,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.9,0
18.8,0
18.8,0
18.7,0
18.7,0
18.6,0
18.5,0
18.5,0
18.4,0
18.4,0
18.3,0
18.3,0
18.2,0
18.1,0
18.1,0
18.0,0
18.0,0
17.9,0
17.8,0
17.8,0
17.7,0
17.7,0
17.6,0
17.6,0
17.5,0
17.5,0
17.4,0
17.4,0
17.3,0
17.3,0
17.2,0
17.2,0
17.2,0
17.1,0
17.1,0
17.0,0
17.0,0
17.1,4
17.2,9
17.3,13
17.4,17
17.5,22
17.6,26
17.6,30
17.7,35
17.8,39
17.9,43
18.0,48
18.1,52
18.3,68
18.4,84
18.6,100
18.8,116
18.9,132
19.1,148
19.3,163
19.4,179
19.6,195
19.8,211
19.9,227
20.1,243
20.2,255
20.3,268
20.4,280
20.5,293
20.6,305
20.8,318
20.9,330
21.0,342
21.1,355
21.2,367
21.3,380
21.4,392
21.6,410
21.8,428
21.9,446
22.1,464
22.3,482
22.4,500
22.6,518
22.8,536
23.0,554
23.2,572
23.3,590
23.5,608
23.6,605
23.6,602
23.7,599
23.7,596
23.8,593
23.8,590
23.9,587
24.0,584
24.0,581
24.1,578
24.1,575
24.2,572
24.3,565
24.4,559
24.5,552
24.6,546
24.7,539
24.8,532
24.8,526
24.9,519
25.0,513
25.1,506
25.2,500
25.3,493
25.4,502
25.4,511
25.5,520
25.6,528
25.6,537
25.7,546
25.8,555
25.8,564
25.9,572
26.0,581
26.0,590
26.1,599
26.2,623
26.4,647
26.5,671
26.6,695
26.7,719
26.8,743
27.0,767
27.1,791
27.2,815
27.4,839
27.5,863
27.6,887
27.6,889
27.7,891
27.7,894
27.7,896
27.8,898
27.8,900
27.8,902
27.9,904
27.9,906
27.9,909
28.0,911
28.0,913
28.0,898
28.0,882
28.0,867
28.0,851
28.0,836
28.0,820
28.0,805
28.0,790
28.0,774
28.0,759
28.0,743
28.0,728
28.0,717
28.0,706
27.9,695
27.9,684
27.9,673
27.8,662
27.8,651
27.8,640
27.8,629
27.8,618
27.7,607
27.7,596
27.6,577
27.6,558
27.5,538
27.4,519
27.3,500
27.2,481
27.2,462
27.1,443
27.0,424
27.0,404
26.9,385
26.8,366
26.7,351
26.6,336
26.5,321
26.4,306
26.3,291
26.2,276
26.0,261
25.9,246
25.8,231
25.7,216
25.6,201
25.5,186
25.4,173
25.2,160
25.1,148
25.0,135
24.9,122
24.8,109
24.6,96
24.5,83
24.4,70
24.2,58
24.1,45
24.0,32
23.9,29
23.8,27
23.6,24
23.5,21
23.4,19
23.3,16
23.2,13
23.1,11
23.0,8
22.8,5
22.7,3
22.6,0
22.5,0
22.4,0
22.3,0
22.2,0
22.1,0
22.0,0
22.0,0
21.9,0
21.8,0
21.7,0
21.6,0
21.5,0
21.5,0
21.5,0
21.5,0
21.5,0
21.5,0
21.6,0
21.6,0
21.6,0
21.6,0
21.6,0
21.6,0
21.6,0
21.5,0
21.5,0
21.4,0
21.3,0
21.2,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.8,0
20.7,0
20.6,0
20.6,0
20.6,0
20.5,0
20.4,0
20.4,0
20.4,0
20.3,0
20.2,0
20.2,0
20.2,0
20.1,0
20.1,0
20.0,0
20.0,0
20.0,0
19.9,0
19.9,0
19.9,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.6,0
19.6,0
19.6,0
19.5,0
19.4,0
19.4,0
19.4,0
19.3,0
19.2,0
19.2,0
19.2,0
19.1,0
19.1,0
19.0,0
19.0,0
18.9,0
18.9,0
18.8,0
18.8,0
18.8,0
18.7,0
18.7,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.6,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.5,0
18.6,4
18.7,8
18.8,13
18.8,17
18.9,21
19.0,26
19.1,30
19.2,34
19.2,38
19.3,42
19.4,47
19.5,51
19.6,67
19.8,83
19.9,99
20.1,115
20.2,131
20.4,146
20.5,162
20.6,178
20.8,194
20.9,210
21.1,226
21.2,242
21.3,258
21.5,273
21.6,288
21.7,304
21.9,320
22.0,335
22.1,350
22.3,366
22.4,382
22.5,397
22.7,412
22.8,428
22.9,437
23.1,447
23.2,456
23.3,466
23.5,475
23.6,484
23.7,494
23.9,503
24.0,513
24.1,522
24.3,532
24.4,541
24.6,539
24.8,536
25.0,534
25.2,532
25.4,529
25.6,527
25.9,525
26.1,522
26.3,520
26.5,518
26.7,515
26.9,513
26.9,520
26.9,527
26.9,534
26.9,541
26.9,548
26.8,556
26.8,563
26.8,570
26.8,577
26.8,584
26.8,591
26.8,598
26.9,629
27.0,660
27.0,690
27.1,721
27.2,752
27.3,783
27.4,814
27.5,845
27.6,876
27.6,906
27.7,937
27.8,968
27.7,948
27.5,928
27.4,907
27.3,887
27.1,867
27.0,846
26.9,826
26.7,806
26.6,786
26.5,766
26.3,745
26.2,725
26.1,728
26.1,730
26.0,733
26.0,735
25.9,738
25.8,740
25.8,743
25.7,746
25.7,748
25.6,751
25.6,753
25.5,756
25.5,746
25.5,736
25.5,726
25.5,716
25.5,706
25.6,696
25.6,686
25.6,676
25.6,666
25.6,656
25.6,646
25.6,636
25.4,612
25.2,587
25.1,562
24.9,538
24.7,514
24.6,489
24.4,464
24.2,440
24.0,416
23.8,391
23.7,366
23.5,342
23.5,345
23.6,348
23.6,350
23.6,353
23.6,356
23.6,359
23.7,362
23.7,365
23.7,368
23.8,370
23.8,373
23.8,376
23.7,358
23.6,340
23.5,321
23.4,303
23.3,285
23.2,266
23.2,248
23.1,230
23.0,212
22.9,194
22.8,175
22.7,157
22.6,147
22.5,136
22.4,126
22.4,115
22.3,105
22.2,94
22.1,84
22.0,74
22.0,63
21.9,53
21.8,42
21.7,32
21.6,29
21.6,27
21.6,24
21.5,21
21.4,19
21.4,16
21.4,13
21.3,11
21.2,8
21.2,5
21.2,3
21.1,0
21.1,0
21.0,0
21.0,0
20.9,0
20.9,0
20.8,0
20.8,0
20.8,0
20.7,0
20.7,0
20.6,0
20.6,0
20.6,0
20.6,0
20.6,0
20.5,0
20.5,0
20.5,0
20.5,0
20.5,0
20.4,0
20.4,0
20.4,0
20.4,0
20.4,0
20.3,0
20.3,0
20.3,0
20.3,0
20.2,0
20.2,0
20.2,0
20.2,0
20.2,0
20.1,0
20.1,0
20.1,0
20.0,0
20.0,0
20.0,0
20.0,0
20.0,0
19.9,0
19.9,0
19.9,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.8,0
19.7,0
19.7,0
19.7,0
19.7,0
19.7,0
