T_Amb,GlobHor
24.1,0
24.0,0
23.8,0
23.7,0
23.6,0
23.5,0
23.4,0
23.2,0
23.1,0
23.0,0
22.8,0
22.7,0
22.6,0
22.5,0
22.5,0
22.4,0
22.3,0
22.3,0
22.2,0
22.1,0
22.1,0
22.0,0
21.9,0
21.9,0
21.8,0
21.8,0
21.7,0
21.7,0
21.6,0
21.6,0
21.6,0
21.5,0
21.5,0
21.4,0
21.4,0
21.3,0
21.3,0
21.3,0
21.2,0
21.2,0
21.2,0
21.1,0
21.1,0
21.1,0
21.0,0
21.0,0
21.0,0
20.9,0
20.9,0
20.9,0
20.8,1
20.8,1
20.7,1
20.7,2
20.6,2
20.6,2
20.6,3
20.5,3
20.5,3
20.4,4
20.4,4
20.5,12
20.6,21
20.8,30
20.9,38
21.0,46
21.2,55
21.3,64
21.4,72
21.5,80
21.6,89
21.8,98
21.9,106
22.2,120
22.4,134
22.7,148
23.0,162
23.2,176
23.5,190
23.8,204
24.0,218
24.3,232
24.6,246
24.8,260
25.1,274
25.3,293
25.6,312
25.8,332
26.0,351
26.2,370
26.4,390
26.7,409
26.9,428
27.1,447
27.4,466
27.6,486
27.8,505
27.9,513
28.1,520
28.2,528
28.4,535
28.5,543
28.6,550
28.8,558
28.9,566
29.1,573
29.2,581
29.4,588
29.5,596
29.6,613
29.8,629
29.9,646
30.0,663
30.2,679
30.3,696
30.4,713
30.6,729
30.7,746
30.8,763
31.0,779
31.1,796
31.1,787
31.2,778
31.2,768
31.2,759
31.3,750
31.3,740
31.3,731
31.4,722
31.4,713
31.4,704
31.5,694
31.5,685
31.5,685
31.6,685
31.6,685
31.6,685
31.7,685
31.7,684
31.7,684
31.8,684
31.8,684
31.8,684
31.9,684
31.9,684
31.9,667
31.8,650
31.8,634
31.8,617
31.7,600
31.7,584
31.7,567
31.6,550
31.6,533
31.6,516
31.5,500
31.5,483
31.5,480
31.5,476
31.6,473
31.6,470
31.6,467
31.6,464
31.6,460
31.6,457
31.6,454
31.7,450
31.7,447
31.7,444
31.6,429
31.5,415
31.4,400
31.4,385
31.3,371
31.2,356
31.1,341
31.0,327
31.0,312
30.9,297
30.8,283
30.7,268
30.6,273
30.5,279
30.4,284
30.4,290
30.3,295
30.2,300
30.1,306
30.0,311
30.0,317
29.9,322
29.8,328
29.7,333
29.6,313
29.6,293
29.5,273
29.4,253
29.4,233
29.3,212
29.2,192
29.2,172
29.1,152
29.0,132
29.0,112
28.9,92
28.9,92
28.8,93
28.8,93
28.8,93
28.7,94
28.7,94
28.7,94
28.6,95
28.6,95
28.6,95
28.5,96
28.5,96
28.4,90
28.3,84
28.2,78
28.1,72
28.0,66
27.8,60
27.7,54
27.6,48
27.5,42
27.4,36
27.3,30
27.2,24
27.1,22
27.0,20
26.9,18
26.8,16
26.7,14
26.6,12
26.5,10
26.4,8
26.3,6
26.2,4
26.1,2
26.0,0
25.8,0
25.6,0
25.4,0
25.1,0
24.9,0
24.7,0
24.5,0
24.3,0
24.0,0
23.8,0
23.6,0
23.4,0
23.4,0
23.5,0
23.5,0
23.5,0
23.6,0
23.6,0
23.6,0
23.7,0
23.7,0
23.7,0
23.8,0
23.8,0
23.8,0
23.8,0
23.8,0
23.8,0
23.8,0
23.8,0
23.7,0
23.7,0
23.7,0
23.7,0
23.7,0
23.7,0
23.6,0
23.4,0
23.2,0
23.1,0
23.0,0
22.8,0
22.6,0
22.5,0
22.3,0
22.2,0
22.0,0
21.9,0
22.0,0
22.1,0
22.2,0
22.2,0
22.3,0
22.4,0
22.5,0
22.6,0
22.6,0
22.7,0
22.8,0
22.9,0
22.8,0
22.8,0
22.7,0
22.6,0
22.6,0
22.5,0
22.4,0
22.4,0
22.3,0
22.2,0
22.2,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.1,0
22.0,0
21.8,0
21.7,0
21.5,0
21.4,0
21.2,0
21.1,0
21.0,0
20.8,0
20.7,0
20.5,0
20.4,0
20.3,0
20.3,1
20.2,1
20.2,1
20.1,2
20.0,2
20.0,2
19.9,3
19.9,3
19.8,3
19.8,4
19.7,4
20.0,13
20.3,22
20.6,32
21.0,41
21.3,50
21.6,60
21.9,69
22.2,78
22.6,87
22.9,96
23.2,106
23.5,115
23.8,132
24.0,150
24.2,167
24.5,184
24.8,202
25.0,219
25.2,236
25.5,254
25.8,271
26.0,288
26.2,306
26.5,323
26.7,341
26.9,360
27.1,378
27.3,396
27.5,414
27.8,432
28.0,451
28.2,469
28.4,487
28.6,506
28.8,524
29.0,542
29.1,559
29.2,575
29.4,592
29.5,609
29.6,625
29.7,642
29.8,659
29.9,675
30.0,692
30.2,709
30.3,725
30.4,742
30.5,756
30.7,769
30.8,782
30.9,796
31.1,810
31.2,823
31.3,836
31.5,850
31.6,864
31.7,877
31.9,890
32.0,904
32.1,913
32.2,922
32.2,932
32.3,941
32.4,950
32.5,960
32.6,969
32.7,978
32.8,987
32.8,996
32.9,1006
33.0,1015
33.1,1019
33.2,1023
33.2,1027
33.3,1031
33.4,1035
33.4,1039
33.5,1043
33.6,1047
33.7,1051
33.8,1055
33.8,1059
33.9,1063
33.8,1045
33.7,1027
33.6,1009
33.6,991
33.5,973
33.4,954
33.3,936
33.2,918
33.2,900
33.1,882
33.0,864
32.9,846
32.8,853
32.6,860
32.4,866
32.3,873
32.2,880
32.0,886
31.8,893
31.7,900
31.6,907
31.4,914
31.2,920
31.1,927
31.2,908
31.2,889
31.3,870
31.4,851
31.5,832
31.6,814
31.6,795
31.7,776
31.8,757
31.8,738
31.9,719
32.0,700
31.9,692
31.9,684
31.8,675
31.8,667
31.7,659
31.6,650
31.6,642
31.5,634
31.5,626
31.4,618
31.4,609
31.3,601
31.1,587
30.9,572
30.7,558
30.5,543
30.3,529
30.2,514
30.0,500
29.8,486
29.6,471
29.4,457
29.2,442
29.0,428
28.8,412
28.6,396
28.4,380
28.2,363
28.0,347
27.8,331
27.7,315
27.5,299
27.3,282
27.1,266
26.9,250
26.7,234
26.5,219
26.3,203
26.0,188
25.8,172
25.6,157
25.4,142
25.2,126
25.0,111
24.8,95
24.5,80
24.3,64
24.1,49
23.9,45
23.7,41
23.4,37
23.2,33
23.0,29
22.8,24
22.5,20
22.3,16
22.1,12
21.8,8
21.6,4
21.4,0
21.3,0
21.2,0
21.1,0
21.0,0
20.9,0
20.8,0
20.7,0
20.6,0
20.5,0
20.4,0
20.3,0
20.2,0
20.1,0
20.0,0
19.8,0
19.7,0
19.6,0
19.4,0
19.3,0
19.2,0
19.1,0
19.0,0
18.8,0
18.7,0
18.6,0
18.6,0
18.5,0
18.5,0
18.4,0
18.4,0
18.3,0
18.2,0
18.2,0
18.1,0
18.1,0
18.0,0
18.0,0
17.9,0
17.8,0
17.8,0
17.8,0
17.7,0
17.6,0
17.6,0
17.5,0
17.5,0
