REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2021-01-01 00:00:00,988.45,46.38,TRADE
TAS1,2021-01-01 00:30:00,947.38,57.3,TRADE
TAS1,2021-01-01 01:00:00,934.04,64.75,TRADE
TAS1,2021-01-01 01:30:00,949.47,65.12,TRADE
TAS1,2021-01-01 02:00:00,947.77,66.63,TRADE
TAS1,2021-01-01 02:30:00,948.19,66.79,TRADE
TAS1,2021-01-01 03:00:00,958.03,65.44,TRADE
TAS1,2021-01-01 03:30:00,967.76,75.11,TRADE
TAS1,2021-01-01 04:00:00,967.28,69.73,TRADE
TAS1,2021-01-01 04:30:00,965.51,59.73,TRADE
TAS1,2021-01-01 05:00:00,963.09,61.14,TRADE
TAS1,2021-01-01 05:30:00,958.28,50.1,TRADE
TAS1,2021-01-01 06:00:00,955.21,52.48,TRADE
TAS1,2021-01-01 06:30:00,958.19,56.87,TRADE
TAS1,2021-01-01 07:00:00,952.09,50.09,TRADE
TAS1,2021-01-01 07:30:00,945.61,34.36,TRADE
TAS1,2021-01-01 08:00:00,963.98,34.36,TRADE
TAS1,2021-01-01 08:30:00,969.78,34.36,TRADE
TAS1,2021-01-01 09:00:00,969.66,34.36,TRADE
TAS1,2021-01-01 09:30:00,977.26,34.34,TRADE
TAS1,2021-01-01 10:00:00,981.62,34.34,TRADE
TAS1,2021-01-01 10:30:00,983.73,34.34,TRADE
TAS1,2021-01-01 11:00:00,985.92,34.34,TRADE
TAS1,2021-01-01 11:30:00,957.37,34.34,TRADE
TAS1,2021-01-01 12:00:00,941.18,34.34,TRADE
TAS1,2021-01-01 12:30:00,931.18,32.89,TRADE
TAS1,2021-01-01 13:00:00,950.77,39.6,TRADE
TAS1,2021-01-01 13:30:00,954.06,35.24,TRADE
TAS1,2021-01-01 14:00:00,942.71,35.51,TRADE
TAS1,2021-01-01 14:30:00,944.18,40.16,TRADE
TAS1,2021-01-01 15:00:00,895.5,34.36,TRADE
TAS1,2021-01-01 15:30:00,871.95,33.46,TRADE
TAS1,2021-01-01 16:00:00,887.51,32.61,TRADE
TAS1,2021-01-01 16:30:00,917.26,27.16,TRADE
TAS1,2021-01-01 17:00:00,952.19,32.1,TRADE
TAS1,2021-01-01 17:30:00,953.26,32.11,TRADE
TAS1,2021-01-01 18:00:00,975.94,33.12,TRADE
TAS1,2021-01-01 18:30:00,974.81,33.28,TRADE
TAS1,2021-01-01 19:00:00,982.36,34.09,TRADE
TAS1,2021-01-01 19:30:00,971.56,31.29,TRADE
TAS1,2021-01-01 20:00:00,981.17,31.75,TRADE
TAS1,2021-01-01 20:30:00,975.12,29.7,TRADE
TAS1,2021-01-01 21:00:00,962.4,30.76,TRADE
TAS1,2021-01-01 21:30:00,943.03,34.78,TRADE
TAS1,2021-01-01 22:00:00,921.38,34.59,TRADE
TAS1,2021-01-01 22:30:00,901.43,34.74,TRADE
TAS1,2021-01-01 23:00:00,890.22,34.49,TRADE
TAS1,2021-01-01 23:30:00,866.58,35.38,TRADE
TAS1,2021-01-02 00:00:00,866.11,36.08,TRADE
TAS1,2021-01-02 00:30:00,848.52,34.04,TRADE
TAS1,2021-01-02 01:00:00,835.83,33.74,TRADE
