REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2021-01-01 00:00:00,4330.42,43.48,TRADE
VIC1,2021-01-01 00:30:00,4179.21,37.21,TRADE
VIC1,2021-01-01 01:00:00,4047.76,36.37,TRADE
VIC1,2021-01-01 01:30:00,3934.7,25.02,TRADE
VIC1,2021-01-01 02:00:00,3766.45,14.6,TRADE
VIC1,2021-01-01 02:30:00,3590.37,8.95,TRADE
VIC1,2021-01-01 03:00:00,3549.37,8.69,TRADE
VIC1,2021-01-01 03:30:00,3504.17,8.95,TRADE
VIC1,2021-01-01 04:00:00,3547.9,8.97,TRADE
VIC1,2021-01-01 04:30:00,3579.11,8.95,TRADE
VIC1,2021-01-01 05:00:00,3580.77,8.95,TRADE
VIC1,2021-01-01 05:30:00,3557.25,8.95,TRADE
VIC1,2021-01-01 06:00:00,3587.71,10.19,TRADE
VIC1,2021-01-01 06:30:00,3569.7,8.75,TRADE
VIC1,2021-01-01 07:00:00,3561.49,4.97,TRADE
VIC1,2021-01-01 07:30:00,3447.65,8.25,TRADE
VIC1,2021-01-01 08:00:00,3362.32,0.0,TRADE
VIC1,2021-01-01 08:30:00,3340.47,0.0,TRADE
VIC1,2021-01-01 09:00:00,3383.71,10.59,TRADE
VIC1,2021-01-01 09:30:00,3379.61,5.53,TRADE
VIC1,2021-01-01 10:00:00,3336.79,11.84,TRADE
VIC1,2021-01-01 10:30:00,3333.31,1.4,TRADE
VIC1,2021-01-01 11:00:00,3275.27,0.0,TRADE
VIC1,2021-01-01 11:30:00,3291.46,-7.21,TRADE
VIC1,2021-01-01 12:00:00,3309.29,-8.26,TRADE
VIC1,2021-01-01 12:30:00,3355.37,6.0,TRADE
VIC1,2021-01-01 13:00:00,3436.26,3.83,TRADE
VIC1,2021-01-01 13:30:00,3607.43,12.32,TRADE
VIC1,2021-01-01 14:00:00,3833.53,24.91,TRADE
VIC1,2021-01-01 14:30:00,3836.59,27.39,TRADE
VIC1,2021-01-01 15:00:00,4020.06,28.34,TRADE
VIC1,2021-01-01 15:30:00,4208.16,28.73,TRADE
VIC1,2021-01-01 16:00:00,4325.69,30.71,TRADE
VIC1,2021-01-01 16:30:00,4541.39,25.21,TRADE
VIC1,2021-01-01 17:00:00,4842.32,30.68,TRADE
VIC1,2021-01-01 17:30:00,5019.64,30.46,TRADE
VIC1,2021-01-01 18:00:00,4978.75,31.69,TRADE
VIC1,2021-01-01 18:30:00,4932.58,32.26,TRADE
VIC1,2021-01-01 19:00:00,4848.56,33.79,TRADE
VIC1,2021-01-01 19:30:00,4819.74,30.66,TRADE
VIC1,2021-01-01 20:00:00,4782.23,31.61,TRADE
VIC1,2021-01-01 20:30:00,4777.06,28.96,TRADE
VIC1,2021-01-01 21:00:00,4677.31,30.05,TRADE
VIC1,2021-01-01 21:30:00,4575.36,34.14,TRADE
VIC1,2021-01-01 22:00:00,4443.79,33.86,TRADE
VIC1,2021-01-01 22:30:00,4302.33,34.16,TRADE
VIC1,2021-01-01 23:00:00,4243.64,33.74,TRADE
VIC1,2021-01-01 23:30:00,4429.74,34.77,TRADE
VIC1,2021-01-02 00:00:00,4402.64,35.8,TRADE
VIC1,2021-01-02 00:30:00,4227.55,34.36,TRADE
VIC1,2021-01-02 01:00:00,4069.91,33.0,TRADE
VIC1,2021-01-02 01:30:00,3923.1,27.09,TRADE
