FY_Year,Region,Market_Fee,Network_Fee,Other_Fee
21/22,NSW,0.0005744800000000002,0.0865,0.1917
21/22,VIC,0.0005744800000000002,0.0805,0.2969
21/22,QLD,0.0005744800000000002,0.08468,0.1675
21/22,SA,0.0005744800000000002,0.1346,0.2039
21/22,TAS,0.0005744800000000002,0.0839,0.2
22/23,NSW,0.0009910899999999998,0.088,0.2068
22/23,VIC,0.0009910899999999998,0.074,0.2925
22/23,QLD,0.0009910899999999998,0.0744,0.171
22/23,SA,0.0009910899999999998,0.1344,0.2038
22/23,TAS,0.0009910899999999998,0.0793,0.2
23/24,NSW,0.00039435,0.0917,0.1868
23/24,VIC,0.00039435,0.0737,0.2702
23/24,QLD,0.00039435,0.07907,0.1526
23/24,SA,0.00039435,0.1347,0.1933
23/24,TAS,0.00039435,0.0812,0.2
24/25,NSW,0.00050409,0.1087,0.1964
24/25,VIC,0.00050409,0.081,0.3204
24/25,QLD,0.00050409,0.09648,0.1653
24/25,SA,0.00050409,0.1504,0.2216
24/25,TAS,0.00050409,0.0902,0.2
25/26,NSW,0.00052664,0.117,0.1593
25/26,VIC,0.00052664,0.0866,0.2687
25/26,QLD,0.00052664,0.0892,0.1192
25/26,SA,0.00052664,0.1451,0.1642
25/26,TAS,0.00052664,0.0959,0.2
